osmid,geometry,type,district
2313638276,POINT (44.5091932 40.1753084),shop,Kentron
2313667679,POINT (44.518132 40.1491157),shop,Erebuni
2313667680,POINT (44.5162753 40.1492473),shop,Erebuni
2313667684,POINT (44.5160381 40.150189),shop,Erebuni
2313667687,POINT (44.5288722 40.1418694),shop,Erebuni
2313667688,POINT (44.5129201 40.1426686),shop,Erebuni
2315070338,POINT (44.5632885 40.1864487),shop,Nor-norq
2315070381,POINT (44.5205348 40.1830228),shop,Kentron
2315070383,POINT (44.5212355 40.1831876),shop,Kentron
2315070386,POINT (44.5216557 40.1830937),shop,Kentron
2315070398,POINT (44.5650574 40.1875386),shop,Nor-norq
2315156737,POINT (44.5653329 40.1833474),cafe,Nor-norq
2315156741,POINT (44.5684783 40.182608),shop,Nor-norq
2315582703,POINT (44.5204264 40.1508049),school,Erebuni
2315582704,POINT (44.5265822 40.1397186),school,Erebuni
2315596215,POINT (44.5220341 40.1414551),shop,Erebuni
2317707985,POINT (44.4788555 40.1542113),shop,Shengavit
2318092180,POINT (44.5289727 40.2092185),shop,Arabkir
2318092217,POINT (44.5203095 40.1992387),shop,Qanaqer zeuytun
2318167567,POINT (44.5296556 40.2065087),school,Qanaqer zeuytun
2318194683,POINT (44.5293294 40.2029514),university,Qanaqer zeuytun
2318194684,POINT (44.5317851 40.201392),shop,Qanaqer zeuytun
2318434014,POINT (44.5029476 40.1998897),school,Arabkir
2320219975,POINT (44.5257235 40.2104294),sport,Arabkir
2321515305,POINT (44.5235167 40.1536949),shop,Erebuni
2323355723,POINT (44.4441071 40.1757111),shop,Malatia
2323355724,POINT (44.4403012 40.1721186),shop,Malatia
2325089855,POINT (44.5032898 40.1759763),kindergarten,Kentron
2327059455,POINT (44.5125172 40.1845585),cafe,Kentron
2330596593,POINT (44.5050425 40.1907775),shop,Kentron
2330596594,POINT (44.5046079 40.1919004),shop,Kentron
2333116386,POINT (44.5469384 40.2080096),shop,Qanaqer zeuytun
2333116396,POINT (44.546753 40.20783),shop,Qanaqer zeuytun
2334765364,POINT (44.4903643 40.2185895),shop,Davitashen
2334765366,POINT (44.5026074 40.2221544),shop,Davitashen
2334765367,POINT (44.4952895 40.2222303),shop,Davitashen
2336756698,POINT (44.4947385 40.2244598),school,Davitashen
2337651446,POINT (44.4967791 40.1453867),shop,Shengavit
2338127090,POINT (44.5450783 40.202254),shop,Qanaqer zeuytun
2338127107,POINT (44.5429361 40.2023345),school,Qanaqer zeuytun
2338576319,POINT (44.5457287 40.2013928),shop,Qanaqer zeuytun
2338576322,POINT (44.547042 40.2017349),school,Qanaqer zeuytun
2338877973,POINT (44.5487001 40.2060069),school,Qanaqer zeuytun
2338889792,POINT (44.540306 40.2192948),work,Qanaqer zeuytun
2338889795,POINT (44.5410286 40.2195863),school,Qanaqer zeuytun
2338889796,POINT (44.5492795 40.2277619),shop,Qanaqer zeuytun
2338889815,POINT (44.5329971 40.2243828),shop,Qanaqer zeuytun
2338889816,POINT (44.5473634 40.2256644),shop,Qanaqer zeuytun
2338889817,POINT (44.5480442 40.2262792),shop,Qanaqer zeuytun
2338889835,POINT (44.5454005 40.2241209),church,Qanaqer zeuytun
2342432606,POINT (44.5095691 40.159984),school,Erebuni
2342499794,POINT (44.5171311 40.1740207),school,Kentron
2365359033,POINT (44.5125035 40.1678026),school,Kentron
2378493655,POINT (44.5167306 40.1675185),shop,Kentron
2405935619,POINT (44.5661324 40.1912752),shop,Nor-norq
2405936043,POINT (44.5679309 40.191002),shop,Nor-norq
